EMPID, AnnualIncomeNeeded ,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,AvgOverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOption,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DiffFromSalary, CurrentSalary 
844," 195,520 ",41,89,2,2,3,2,4,8,15,0.11,3,1,0,8,0,1,6,4,0,5," 30,208 "," 165,312 "
1754," 126,880 ",49,56,1,3,2,2,2,1,6,0.23,4,4,1,10,3,3,10,7,1,7," 32,113 "," 94,767 "
2566," 191,360 ",37,105,2,4,2,1,3,6,10,0.15,3,2,0,7,3,3,0,0,0,0," 36,837 "," 154,523 "
1852," 116,480 ",33,17,4,4,3,1,3,1,6,0.11,3,3,0,8,3,3,8,7,3,0," 17,996 "," 98,484 "
198," 83,200 ",27,55,1,1,3,1,2,9,2,0.12,3,4,1,6,3,3,2,2,2,2," 13,645 "," 69,555 "
2548," 164,320 ",32,94,2,4,3,1,4,0,2,0.13,3,3,0,8,2,2,7,7,3,6," 25,650 "," 138,670 "
1412," 168,480 ",59,50,3,3,4,1,1,4,7,0.2,4,1,3,12,3,2,1,0,0,0," 40,435 "," 128,045 "
522," 139,360 ",30,82,1,4,3,1,3,1,15,0.22,4,2,1,1,2,3,1,0,0,0," 32,833 "," 106,527 "
2754," 91,520 ",38,42,3,4,2,3,3,0,2,0.21,4,2,0,10,2,3,9,7,1,8," 20,665 "," 70,855 "
1212," 195,520 ",36,83,3,3,3,2,3,6,15,0.13,3,2,2,17,3,2,7,7,7,7," 35,624 "," 159,896 "
2678," 174,720 ",35,15,3,1,4,1,2,0,4,0.13,3,3,1,6,5,3,5,4,0,3," 27,274 "," 147,446 "
1894," 101,920 ",29,61,2,4,2,2,3,0,8,0.12,3,4,0,10,3,3,9,5,0,8," 14,024 "," 87,896 "
30," 64,480 ",31,55,1,1,3,1,3,1,9,0.17,3,4,1,5,1,2,5,2,4,3," 13,638 "," 50,842 "
2304," 193,440 ",34,18,2,2,3,1,4,0,4,0.11,3,3,1,3,2,3,2,2,1,2," 31,608 "," 161,832 "
2184," 104,000 ",28,106,3,3,2,1,3,5,14,0.14,3,2,0,6,4,3,4,2,0,3," 19,032 "," 84,968 "
1658," 106,080 ",29,11,4,2,4,3,1,1,3,0.11,3,3,1,10,1,3,10,9,8,8," 16,389 "," 89,691 "
2838," 166,400 ",32,10,2,1,4,1,2,0,8,0.12,3,4,2,7,5,2,6,2,0,5," 22,897 "," 143,503 "
2228," 199,680 ",22,113,2,4,4,1,4,1,2,0.13,3,2,2,1,2,2,1,0,0,0," 36,382 "," 163,298 "
92," 162,240 ",53,39,4,1,2,4,4,2,8,0.16,3,3,0,31,3,3,25,8,3,7," 28,684 "," 133,556 "
2726," 93,600 ",38,50,3,4,3,1,4,5,11,0.11,3,3,0,6,3,3,3,2,1,2," 14,461 "," 79,139 "
